区切られたドメイン,非推奨語,かわりに使う語の候補,種別,なぜ駄目か,裁定の出典,その語が正しくなる場面
共通,枝,ブランチ(git のとき) / 選択肢(判別共用体の取りうる値のとき) / 経路 / 中身を名指す,比喩,"木構造の比喩であって、読み手が意味を取れない",Blitzdrache0 の 2026-09-04 と 2026-09-13 のオーナー裁定。Issue #58,木の部品を指すとき(枝の根元・大枝)
共通,選択子,選択肢,直訳,"判別共用体の取りうる値を指す語は選択肢に確定している",Blitzdrache0 の 2026-09-04 のオーナー裁定。Issue #58,無し
共通,腕,選択肢,直訳,"Rust の arm の直訳であり、日本語として意味が伝わらない",Blitzdrache0 の 2026-09-04 のオーナー裁定,物理でてこの腕(モーメントアーム)を指すとき
共通,フォールバック,その都度考える,カタカナ語,"業界のカタカナ語であり、読んで意味を取れない。後方互換・エラーの握り潰し・既定値の適用・機能を落とした動作のどれを指すかも決まらない",Blitzdrache0 の 2026-08-09 と 2026-09-13 のオーナー裁定,無し
共通,マイルストーン,節目,カタカナ語,"業界のカタカナ語であり、小学生が読んで意味を取れない",Blitzdrache0 の 2026-08-09 のオーナー裁定,無し
共通,ラウンドトリップ,往復,カタカナ語,"業界のカタカナ語であり、小学生が読んで意味を取れない",Blitzdrache0 の 2026-08-09 のオーナー裁定,無し
共通,記録,レコード / 1件 / 項目(データの1件のとき) / 積む(命令を積むとき) / 中身を名指す,直訳,"record を機械的に記録と訳すと、データの1件や GPU の命令を積む操作まで「履歴を書き残す」の意味に読める。日本語の記録は、起きたことを書き残したものを指す",Blitzdrache0 の 2026-08-09 の受理条件の第7条と 2026-09-25 のオーナー裁定,起きたことの履歴を指すとき(計測記録・ログ)
共通,文脈,状況 / 前提 / 中身を名指す / コンテキスト(LLM のコンテキストウィンドウのように確立した用語のとき),直訳,"文脈は文章や会話の前後関係に限られた語である。context を機械的に文脈と訳すと、プログラムの状態や周りの事情まで「文の脈」として書くことになり、意味が取れない。英語の context 自体が中身を言わずに済ませる語であるため、訳語を探すより中身を名指すほうが伝わる",Blitzdrache0 の 2026-08-09 の受理条件の第7条と 2026-09-25 のオーナー裁定,文章・会話の前後関係を指すとき
共通,段3,第3段階,圧縮,"段とか順とか日本語じゃないから使うな。中国語か。中国語を使うな。日本語を使え",Blitzdrache0 の 2026-08-09 のオーナー裁定,第3段 の語順は許す
共通,順4,着手順4,圧縮,"段とか順とか日本語じゃないから使うな。中国語か。中国語を使うな。日本語を使え",Blitzdrache0 の 2026-08-09 のオーナー裁定,無し
共通,便,作業,圧縮,"1文字の漢字では何を指すか読めない",Blitzdrache0 の 2026-09-13 のオーナー裁定。Issue #58,無し
共通,綴り,その都度考える,誤用,"日本語の「綴り」が指すのは外国語の字の並びであり、用途が極めて狭い。実際に書かれている語・文字列・表記の意味で使うのは誤用である",Blitzdrache0 の 2026-09-20 のオーナー裁定,無し
共通,ヘッドレス,その都度考える(ウィンドウを出さない・画面なしで動く等、実体を書く),借用語,"未翻訳の借用語である",Blitzdrache0 のユビキタス言語の登録,無し
共通,マネージャー,その都度考える,借用語,"役割の抽象名詞であり、何をする型かを答えていない",Blitzdrache0 の 2026-08-19 のオーナー裁定,無し
共通,引く,検索(lookup) / 参照する(テクスチャの sample),直訳,"lookup と sample の直訳である。辞書でないものを「引く」と書くと意味が取れない",Blitzdrache0 の 2026-07-30 と 2026-09-25 のオーナー裁定,"「辞書を引く」のように、対象が辞書のときだけ"
