区切られたドメイン,非推奨語,かわりに使う語の候補,種別,なぜ駄目か,裁定の出典,その語が正しくなる場面
描画,ヘッドレス,ウィンドウなし実行,借用語,"未翻訳の借用語である。描画の区切られたドメインでは、ウィンドウもスワップチェーンも作らずGPUだけを使う実行モードをウィンドウなし実行と呼ぶ",ユビキタス言語の登録,無し
描画,LUT,ベイク済み画像,頭字語,"英語の頭字語を日本語へ混ぜない",2026-07-30 のオーナー裁定,無し
描画,UBO,その都度考える,頭字語,"英語の頭字語を日本語へ混ぜない",2026-07-30 のオーナー裁定,無し
描画,SSBO,その都度考える,頭字語,"英語の頭字語を日本語へ混ぜない",2026-07-30 のオーナー裁定,無し
描画,PSO,その都度考える,頭字語,"英語の頭字語を日本語へ混ぜない",2026-07-30 のオーナー裁定,無し
描画,プリコンピュートテーブル,事前計算表,借用語,"未翻訳の借用語である",2026-07-30 のオーナー裁定,無し
描画,ミップ,縮小段,借用語,"未翻訳の借用語である",ユビキタス言語の登録,無し
描画,フラグメント,画素段,借用語,"未翻訳の借用語である",ユビキタス言語の登録,無し
描画,ユニフォーム,シェーダー定数,借用語,"未翻訳の借用語である",Issue #109,無し
描画,アンカー,基準点,借用語,"未翻訳の借用語である",Issue #109,無し
描画,アルベド,反射率,借用語,"未翻訳の借用語である",Issue #109,無し
描画,インフライト,進行中フレーム,借用語,"未翻訳の借用語である",Issue #109,無し
描画,トーンマップ,明るさの圧縮,借用語,"未翻訳の借用語である",Issue #109,無し
描画,ブルーム,光のにじみ,借用語,"未翻訳の借用語である",Issue #109,無し
描画,カスケード,多段,借用語,"未翻訳の借用語である",Issue #109,無し
描画,ワークグループ,計算の班,借用語,"未翻訳の借用語である",ユビキタス言語の登録,無し
描画,ディスパッチ,計算の発行,借用語,"未翻訳の借用語である",ユビキタス言語の登録,無し
描画,押し込み定数,即時定数,直訳,"push constant の直訳であり、何を指すか読めない",ユビキタス言語の登録,無し
描画,validation,検証層,借用語,"未翻訳の借用語である",2026-09-14 のオーナー裁定。Issue #109,"validation layer という表記は Khronos の仕様書と指摘文が使う固有名詞であり、文書とコメントでの言及は妨げない"
描画,記録文脈,GPU命令の積み先と宣言済み資源の取り出し口,直訳,"context の直訳であり、記録という語を GPU の計測記録と別の意味で使って多義になっていた",2026-08-09 のオーナー裁定,無し
描画,骨格,一間四方の骨格 などの複合語,曖昧,"スケルタルアニメーションの骨格と1語1義が破れる",ユビキタス言語の登録,複合語の一部として使うのは正しい
物理,擬似逆,擬似逆行列,圧縮,"名詞が何であるかを省いている",Issue #119,無し
物理,当て方,適用規則,曖昧,"どう適用するかと読めるが、実体は適用先と倍率と判定条件を束ねた設定であり、初見で意味を復元できない",2026-09-12 のオーナー裁定。PR #104,無し
物理,距離拘束を射影する,距離の誤差を逆質量の比で分配する,曖昧,"射影するが何をするのか答えていない",2026-09-02 のオーナー裁定,無し
ゲーム実行,インテント,ゲームの操作意図 / カメラの操作意図,借用語,"未翻訳の借用語である",2026-09-14 のオーナー裁定。Issue #106,無し
ゲーム実行,フレーム番号,描画機会の番号,曖昧,"固定刻みの番号と取り違える",2026-09-18 のオーナー裁定,CLI の文字列と報告の行の文言は外部との契約として残す
ゲーム実行,ゲームの終了要求,刻み結果,曖昧,"運ぶ中身が終了要求だけではない",2026-09-18 の判断12,無し
ゲーム実行,規則の内部の順序,(廃語。指すものが無い),廃語,"規則の1刻みを分解しないという前提が覆ったため、指すものが無くなった",2026-09-19 のオーナー裁定。PR #150 のレビュー,無し
ゲーム実行,開発UI,画面へ重ねるUI,曖昧,"中身の1つの名前を統合そのものの名前にしていた",ユビキタス言語の登録,無し
資産・ストリーミング,アセット取り込みパイプライン,アセットコンパイラ,借用語,"パイプラインが未翻訳の借用語である",ユビキタス言語の登録,無し
資産・ストリーミング,大升,粗マス,圧縮,"マスが漢字なのはおかしい",2026-09-04 のオーナー裁定,無し
エディター,ワールドパイプラインエディター,チャンク編集,借用語,"未翻訳の借用語の連なりである",2026-08-19 のオーナー裁定,無し
エディター,大域グリッドマネージャー,大域編集,借用語,"マネージャーが役割の抽象名詞であり、何をする型かを答えていない",2026-08-19 のオーナー裁定,無し
共通,遷移文脈,遷移パラメータ,廃語,"文脈は周辺事情を指す普通語であり、型として何を持つか・どのような構造上の役割を持つかを共有できない。この型は遷移関数の実行に必要な引数を1つのオブジェクトへ束ねたものである",2026-09-20 のオーナー裁定。PR #169,無し
共通,設計マーカー,設計解釈マーカー,廃語,"単に設計に関係する印を付けるものではなく、Rust上の型を設計上どの概念として読むかを宣言するものである",2026-09-20 のオーナー裁定。PR #169,散文で単に「マーカー」と略すことは、前後で曖昧でなければ許す
共通,遷移結果,遷移成功結果,廃語,"外側の `Result` が成功と失敗の分岐そのものを表すため、内側の成功側だけを遷移結果と呼ぶと `Result` 全体と意味が競合する",2026-09-20 のオーナー裁定。PR #169,無し
共通,遷移の失敗,遷移失敗結果,廃語,"成功側の遷移成功結果と対称にならず、結果の一方であることが読めない",2026-09-20 のオーナー裁定。PR #169,無し
共通,仕様,生成条件 / 計算条件 / 構成値 / 命題の集合,メタ語の誤用,"実行時のデータの種類ではない。対象に何が許され何を満たさなければならないかを定めるメタの概念であり、型の名前に使うと型自身が何を持つのかを答えない",2026-09-20 のオーナー裁定。PR #169。Issue #171,設計文書の題名と散文でメタの概念として使うとき
共通,方針,方式 / 規則 / 選択 / 構成値 / 設定 / 係数,メタ語の誤用,"人間や設計が採用するメタの語であり、実行時の構造体の名前にすると、その型自身を振る舞いの主体として読みにくい",2026-09-20 のオーナー裁定。PR #169。Issue #171,設計文書の題名と散文でメタの概念として使うとき
共通,束,集まり / 集合 / 組 / 中身を名指す,比喩,"英語の bundle の直訳であり、日本語の束は細長い物を物理的にくくったものを指す。状態や値に使うと比喩になり、中に何が入っているかも答えない",2026-09-25 のオーナー裁定,"拘束(constraint)と束縛(binding)は字を含むだけの別の語であり対象外。既存の登録語(描画束など)の扱いは裁定待ち"
